72 Trần Phú, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
đường Lê Lợi, tổ 9 - Phường An Bình - Thị xã An Khê - Gia Lai
58 Trường Sơn - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
01/196 Lê Thánh Tôn, tổ 10 - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
Làng Đê Tur - Xã Đăk Djrăng - Huyện Mang Yang - Gia Lai
Chợ Tx Ayun Pa - Thị xã Ayun Pa - Gia Lai
Lô 50 Khu DC Bình Hòa - Thị xã Ayun Pa - Gia Lai
Chợ Tx Ayun Pa - Thị xã Ayun Pa - Gia Lai
Tổ 7 - Huyện Đak Đoa - Gia Lai
431 Trường Chinh - Thành phố  Pleiku - Gia Lai
257 Hùng Vương - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
12 Phan Kế Bính - Thành phố  Pleiku - Gia Lai
Đường Trường Chinh (thôn Hàm Rồng) - Xã Chư HDrông - Thành phố  Pleiku - Gia Lai
tổ dân phố  2 - Huyện Chư Sê - Gia Lai
Hẻm 6C Hoàng Văn Thụ - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
Số nhà 42 Chi Lăng - Thành phố  Pleiku - Gia Lai
22/2 Ngô Gia Khảm - Thành phố  Pleiku - Gia Lai
Số 07 Đỗ Trạc, tổ 1 - Phường An Phú - Thị xã An Khê - Gia Lai
81 Tăng Bạt Hổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Thôn 1 - Huyện Đak Đoa - Gia Lai
23 Y Đôn, tổ 6 - Phường Tây Sơn - Thị xã An Khê - Gia Lai
Tổ dân phố 14 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Thôn An Thạch - Thị xã An Khê - Gia Lai
25 Lý Thường Kiệt - Huyện Chư Păh - Gia Lai
88 Yên Đỗ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
39A Hồ Xuân Hương - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
70 Quang Trung - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
TT NHơn Hòa - Huyện Chư Pưh - Gia Lai
86 Hai Bà Trưng - Phường Tây Sơn - Thị xã An Khê - Gia Lai
Thôn Thanh Giáo - Xã Ia Krêl - Huyện Đức Cơ - Gia Lai
167B Quang Trung, tổ 6 - Phường An Tân - Thị xã An Khê - Gia Lai
Lô C1, Khu đô thị Cầu Sắt - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
45 Tạ Quang Bửu (Lô L1-22-23 Dự án Hoa Lư Phù Đổng) - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
47B Nguyễn Trãi - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
35/49 Trần Kiên - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
52 Nguyễn Thiện Thuật - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Đường Lữ Gia - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
775 Phạm Văn Đồng - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
Tầng 7 - Tòa nhà số 13 đường Phan Bội Châu - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
Buôn Muk - Xã Chư Ngọc - Huyện Krông Pa - Gia Lai
43 Trần Hưng Đạo - Tổ 10 - Huyện Kbang - Gia Lai
Thôn Tân An - Xã Ia Sao - Huyện Ia Grai - Gia Lai
Đường Trường Chinh, thôn Mỹ Thạch - Huyện Chư Sê - Gia Lai
đường Lữ Gia - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
63/15 Tôn Thất Thuyết - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
29/360 Phan Đình Phùng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
255A Hẻm Tăng Bạt Hổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Làng Chiết 2, đường Nguyễn Chí Thanh - Xã Chư á - Thành phố  Pleiku - Gia Lai
Khối phố 3 - Thị trấn Ia Kha - Huyện Ia Grai - Gia Lai
Làng Dăng - Xã Ia O - Huyện Ia Grai - Gia Lai
22 Trần Bình Trọng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
736 Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Thôn 10 - Xã Ia Pết - Huyện Đak Đoa - Gia Lai
08 Quang Trung - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
27B Chu Mạnh Trinh - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
868 Hùng Vương - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Hẻm Lê Đại Hành, tổ 6 - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
59 Nguyễn Thiếp - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
28 Nguyễn Nhạc - Thành phố  Pleiku - Gia Lai
Thôn Drok - Xã Chư A Thai - Huyện Phú Thiện - Gia Lai
67 Đ.Lê Lợi - Tổ 10 - Huyện Kbang - Gia Lai
76 Nguyễn Huệ - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Thôn 1 - Xã Ia Pal - Huyện Chư Sê - Gia Lai
Lô A11, Khu Công nghiệp Trà Đa - Thành phố  Pleiku - Gia Lai
Trung tâm y tế huyện Mang Yang - Huyện Mang Yang - Gia Lai
Tổ dân phố 5 - Huyện Phú Thiện - Gia Lai
146 WừU - Huyện Đak Đoa - Gia Lai
274/9/18 Lê Duẩn - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
52-54 Nguyễn Văn Cừ - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
22 Nơ Trang Long - Thành phố  Pleiku - Gia Lai
748 Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
158 Lê Duẩn, làng Ngõ - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Tổ dân phố 1 - Thị trấn Chư Ty - Huyện Đức Cơ - Gia Lai
Đường Tôn Thất Tùng - Huyện Chư Prông - Gia Lai
Tổ dân phố 4 - Huyện Ia Grai - Gia Lai
Km 74, QL 19 - Xã Song An - Thị xã An Khê - Gia Lai
Khu quy hoạch dân cư B đường Trần Phú - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
162/70 A Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn 1 - Huyện Ia Grai - Gia Lai
18 Lê Hồng Phong - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn Plei Do - Xã Chư á - Thành phố  Pleiku - Gia Lai
Thôn Thắng Trạch 1 - Thị trấn Ia Kha - Huyện Ia Grai - Gia Lai
34 Lê Đại Hành, tổ 12 - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
497 Lê Duẩn - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Lô 4A khu trung tâm thương mại Hội Phú, tổ 7 - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
30 Lý Nam Đế - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
287A Quang Trung - Thị trấn KBang - Huyện Kbang - Gia Lai
514 Nguyễn Huệ, tổ dân phố 5 - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Nghĩa Hưng - Huyện Chư Păh - Gia Lai
76 Trần Hưng Đạo, tổ dân phố 7 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Tổ dân phố 2 - Huyện Chư Prông - Gia Lai
44 Hoàng Hoa Thám - Phường Tây Sơn - Thị xã An Khê - Gia Lai
25 Hai Bà Trưng - Thị xã An Khê - Gia Lai
Số nhà 487 Trường Chinh, quốc lộ 14 - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Tổ 6-ChưTy - Huyện Đức Cơ - Gia Lai
50/8C Lê Đại Hành, tổ 6 - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
Thôn Pleidjriêk - Thị trấn Nhơn Hoà - Huyện Chư Pưh - Gia Lai
34 Hùng Vương, tổ 1 - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
42 Nguyễn Lương Bằng - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Tổ 2 - Huyện Kông Chro - Gia Lai
Đường số 2 vào nhà máy đường (Thửa số 32 tờ bản đổ 18) - Phường Ngô Mây - Thị xã An Khê - Gia Lai
30/26/94 Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
222 Nguyễn Tất Thành, tổ 7 - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
181 Hùng Vương - Thành phố  Pleiku - Gia Lai
152 Lý Nam Đế - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Đường quy hoạch D3 - Khu quy hoạch mở rộng thị trấn - Thị trấn Chư Prông - Huyện Chư Prông - Gia Lai
227 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
133D Cao Bá Quát - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Thôn Châu Khê - Huyện Mang Yang - Gia Lai
303 Quang Trung - Thị trấn KBang - Huyện Kbang - Gia Lai
79 Phạm Văn Đồng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
Làng Nha Prông, đường Nguyễn Chí Thanh - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Số nhà 15, hẻm 280 đường Trường Chinh - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Làng Tò (Pleido) - Xã Chư á - Thành phố  Pleiku - Gia Lai
119 Trường Sơn - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
21 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
317A Trường Chinh - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Tổ dân phố 9 - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
179 Duy Tân - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
532B Quang Trung - Phường Tây Sơn - Thị xã An Khê - Gia Lai
80/60 A đường Võ Trung Thành - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
138 Lê Duẩn - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
11 Lý Tự Trọng, tổ 6 - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
50 Nguyễn An Ninh - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
347A Phạm Văn Đồng - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
Số nhà H33 - khu biệt thự Phượng Hoàng, thôn 6 - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
169 Lê Duẩn - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn cửa khẩu Lệ Thanh - Xã Ia Dom - Huyện Đức Cơ - Gia Lai
Tổ 8 - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
Đ.Lê Văn Tám - Tổ 8 - Huyện Kbang - Gia Lai
Tổ 9 ( 709 Hùng Vương) - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
75/25 Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
36 Trần Quốc Toản - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
19 Ngô Mây - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
19 Phó Đức Chính, thôn 3 - Xã Biển Hồ - Thành phố  Pleiku - Gia Lai
Làng Cao Lạng - Xã Tơ Tung - Huyện Kbang - Gia Lai
Tổ dân phố 6 - Thị trấn Chư Ty - Huyện Đức Cơ - Gia Lai
268 Nguyễn Chí Thanh, tổ 5 - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
138 Lê Lợi - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
132 Cao Bá Quát - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
113C Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
395 Hùng Vương - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Thôn Phú Vinh - Xã Ia Băng - Huyện Chư Prông - Gia Lai
Chợ Nhơn Hòa - Thị trấn Nhơn Hoà - Huyện Chư Pưh - Gia Lai
30 Lê Lai - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
33 Lạc Long Quân - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
24/10 A Nguyễn Văn Trỗi - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
Số nhà 357 Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
462 Nguyễn Viết Xuân, tổ 1 - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
Thôn Hàm Rồng - Xã Ia Băng - Huyện Đak Đoa - Gia Lai
7A Kpă Klơng - Thị trấn Chư Prông - Huyện Chư Prông - Gia Lai
Hẻm 29/108 Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Khu quy hoạch chi tiết ngã ba Cầu Sắt - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
18/293 Trần Phú - Thành phố  Pleiku - Gia Lai
Khu dân cư cánh đồng Ia Chor, thôn Jút 2 - Xã Ia Dêr - Huyện Ia Grai - Gia Lai
15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
248 Cách Mạng Tháng Tám, Tổ 9 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
224 Hùng Vương - Thành phố  Pleiku - Gia Lai
283/4 Trần Phú - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
21 Cù Chính Lan - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Tổ dân phố 1 - Thị Trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
Thôn Ia Lâm - Xã Ia Krêl - Huyện Đức Cơ - Gia Lai
Thôn Mrin 2 - Xã Ia Ma Rơn - Huyện IaPa - Gia Lai
Thôn Jút 2 - Xã Ia Dêr - Huyện Ia Grai - Gia Lai
277 Phạm Văn Đồng - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
29 Lê Đình Chinh - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Kiốt số 1,2,3,4 tại số 01, đường Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
853 Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Lô 43 khu kinh tế cửa khẩu quốc tế Lệ Thanh - Xã Ia Dom - Huyện Đức Cơ - Gia Lai
70 Quang Trung - Thị xã An Khê - Gia Lai
Thôn 1 - Xã Tân Sơn - Thành phố  Pleiku - Gia Lai
13 Võ Trung Thành - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
281 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Tổ 2 - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Đường Nguyễn Thiện Thuật - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
315A Phạm Văn Đồng - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
696 Lê Duẩn - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
136 Hùng Vương - Thành phố  Pleiku - Gia Lai
Đường Trần Phú - Huyện Mang Yang - Gia Lai
Thôn Hòa Tín - Huyện Chư Pưh - Gia Lai
271 Phan Đình Phùng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
57 Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
01 Quang Trung, tổ 01 - Thị trấn KBang - Huyện Kbang - Gia Lai
301 Hùng Vương - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
Thôn Phú Mỹ - Xã Ia Băng - Huyện Chư Prông - Gia Lai
76 âu Cơ - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
279 Nguyễn Thiếp - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Thôn O Ngó - Xã Ia Băng - Huyện Đak Đoa - Gia Lai
20 Vạn kiếp - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
921 Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
. - Huyện Chư Păh - Gia Lai
65A Phạm Văn Đồng, tổ 14 - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
249A Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
152 B Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn 4 - Xã An Thành - Huyện ĐakPơ - Gia Lai
Tổ 3 - Huyện Kông Chro - Gia Lai
183 Phạm Văn Đồng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
225 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
55 Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Tung Ke 2 - Huyện Chư Sê - Gia Lai
136 Huỳnh Thúc Kháng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
43 Quang Trung - Phường An Tân - Thị xã An Khê - Gia Lai
74 Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
06 Võ Thị Sáu - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn 2 - Xã Biển Hồ - Thành phố  Pleiku - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
Bôn Krăi - Thị xã Ayun Pa - Gia Lai
80 Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Tổ 2 - Xã Ia Pal - Huyện Chư Sê - Gia Lai
271 Quang Trung - Thị trấn Chư Ty - Huyện Đức Cơ - Gia Lai
59 Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn 2 - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
462 Hoàng Sa, thôn 3 - Xã Diên Phú - Thành phố  Pleiku - Gia Lai
Lô E1-E2-E3 (G3-G2-G1, theo CV số 41/QĐ-BQL ngày 30/5/2012)K - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
45 Lý Nam Đế (Làng Plei Ngó) - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn 4 - Xã Ia Le - Huyện Chư Pưh - Gia Lai
01 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
152/22 Lạc Long Quân - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Thôn Tân Sơn - Xã Tân An - Huyện ĐakPơ - Gia Lai
39 Lê Hồng Phong - Huyện Kông Chro - Gia Lai
Thôn 4 - Xã Chư á - Thành phố  Pleiku - Gia Lai
81 Hùng Vương - Thành phố  Pleiku - Gia Lai
111 Nguyễn Chí Thanh - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Lô C13-C14-C15 Cụm công nghiệp Diên Phú - Xã Diên Phú - Thành phố  Pleiku - Gia Lai
747 Lê Duẩn - Xã Chư á - Thành phố  Pleiku - Gia Lai
252 Trần Hưng Đạo - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
Tầng 8, 15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
87 Tô Vĩnh Diện - Thành phố  Pleiku - Gia Lai
332 Trần Hưng Đạo - Phường Cheo Reo - Thị xã Ayun Pa - Gia Lai
Thôn 6 - Xã Nghĩa Hưng - Huyện Chư Păh - Gia Lai
25A Phạm Văn Đồng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
43 Lý Nam Đế - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Ia Pia - Huyện Chư Prông - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
Quốc lộ 14, Thôn Ia Rok - Xã Ia Kênh - Thành phố  Pleiku - Gia Lai
46 Hùng Vương - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
62 Hàm Nghi - Xã Chư á - Thành phố  Pleiku - Gia Lai
926 Hùng Vương - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Tổ dân phố 10 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
TaoChor A - Huyện Chư Pưh - Gia Lai
Buôn Phuamanher 2 - Xã Ia RTô - Thị xã Ayun Pa - Gia Lai
Tổ 5 - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
33/4 đường Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
36 A Hoàng Văn Thụ - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn 2 - Xã Biển Hồ - Thành phố  Pleiku - Gia Lai
Thôn 4 - Xã Thăng Hưng - Huyện Chư Prông - Gia Lai
Làng Brukngol - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
01 Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
90/94/9 Trường Chinh, tổ 8 - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
217 Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
640A Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Thôn Tân Lạc - Huyện Chư Prông - Gia Lai
Xã Bàu Cạn - Huyện Chư Prông - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
33/12 Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Tô� dân phô� 17, đươ�ng Y Wư�u - Thị trấn KBang - Huyện Kbang - Gia Lai
Thôn Bình An - Huyện Chư Prông - Gia Lai
Thôn Phú Hà - Xã Ia Blứ - Huyện Chư Pưh - Gia Lai
Số nhà 642 Lê Duẩn - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
26/16 Trường Chinh, tổ 9 - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Làng Chuk - Huyện Mang Yang - Gia Lai
Đường Lê Lợi - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Thôn Mỹ Thạch 1 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Làng Sung Quen - Huyện Chư Prông - Gia Lai
Làng Pó - Huyện Chư Prông - Gia Lai
Làng Briêng - Huyện Chư Prông - Gia Lai
Làng Tu - Huyện Chư Prông - Gia Lai
Thôn 1 - Huyện Chư Prông - Gia Lai
Ia Tôr - Huyện Chư Prông - Gia Lai
Quốc lộ 14, thôn Phú Tân - Xã Ia Băng - Huyện Chư Prông - Gia Lai
211 thôn Phú Hà - Xã Ia Blứ - Huyện Chư Pưh - Gia Lai
Thôn 5 - Xã An Phú - Thành phố  Pleiku - Gia Lai
Buôn Ma Leo - Huyện Krông Pa - Gia Lai
Buôn Ma Hinh - Huyện Krông Pa - Gia Lai
Bờ Ngoong - Huyện Chư Sê - Gia Lai
Ya Hội - Huyện ĐakPơ - Gia Lai
Thôn Hợp Thắng - Huyện Chư Prông - Gia Lai
Làng Sung O - Huyện Chư Prông - Gia Lai
01 Lý Tự Trọng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
20 Trần Quang Khải - Thành phố  Pleiku - Gia Lai
An Thành - Huyện ĐakPơ - Gia Lai
Thôn 1 - Xã Ia HLốp - Huyện Chư Sê - Gia Lai
Chính Đơn 2 - Huyện Krông Pa - Gia Lai
Hòa Mỹ - Huyện Krông Pa - Gia Lai
Buôn H'Lang - Huyện Krông Pa - Gia Lai
Xã Ia Tôr - Huyện Chư Prông - Gia Lai
Thôn Đoàn Kết - Huyện Chư Prông - Gia Lai
Yang Bắc - Huyện ĐakPơ - Gia Lai
Ia Băng - Huyện Chư Prông - Gia Lai
155/19 Thống Nhất - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
419 Lê Thánh Tôn - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
Siêu thị CO.OP MART Pleiku, 21 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
77/6 Triệu Quang Phục, tổ 17 - Thành phố  Pleiku - Gia Lai
68 Lê Hồng Phong - Thành phố  Pleiku - Gia Lai
Tổ 3 - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
Thôn 3 - Huyện ĐakPơ - Gia Lai
TT Nhơn Hòa - Huyện Chư Pưh - Gia Lai
Tầng 8, 15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
68/63 đường Hàn Mạc Tử - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn Nhơn Bông - Huyện Mang Yang - Gia Lai
Tổ dân phố 1, đường Lê Duẩn - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
19C Chi Lăng - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
69 Ngô Quyền - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
Thôn Tân Phú - Huyện Mang Yang - Gia Lai
Thôn 2 - Xã Ia Tô - Huyện Ia Grai - Gia Lai
Tổ 3 - Huyện Đức Cơ - Gia Lai
24 đường 17/3 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Ia Phìn - Huyện Chư Prông - Gia Lai
Thôn Plei Đung - Xã Ia Hrú - Huyện Chư Pưh - Gia Lai
561 Trần Hưng Đạo - Phường Cheo Reo - Thị xã Ayun Pa - Gia Lai
An Hòa - Huyện ĐakPơ - Gia Lai
Đường Hùng Vương - Huyện Chư Prông - Gia Lai
108 Thôn Hòa Thành - Huyện Chư Pưh - Gia Lai
Tổ 2, đường Lê Duẩn - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Tân Lập - Huyện Krông Pa - Gia Lai
Tân Lập - Huyện Krông Pa - Gia Lai
176 Tôn Đức Thắng - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
107 Lê Duẩn - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
35 Yên Đỗ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
71/4 Hùng Vương - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Tổ 10 - Thành phố  Pleiku - Gia Lai
Thôn 17 - Xã Bờ Ngoong - Huyện Chư Sê - Gia Lai
Số 02, Đường Lý Thái Tổ - Phường Tây Sơn - Thị xã An Khê - Gia Lai
Thôn Tân Phú - Xã Đăk Djrăng - Huyện Mang Yang - Gia Lai
Đăk Ta Ley - Huyện Mang Yang - Gia Lai
Cư An - Huyện ĐakPơ - Gia Lai
Tân An - Huyện ĐakPơ - Gia Lai
Thôn 2 - Huyện ĐakPơ - Gia Lai
Ia Ga - Huyện Chư Prông - Gia Lai
22A Chu Mạnh Trinh - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
Thôn Phú Yên - Huyện Mang Yang - Gia Lai
HYú - Huyện Krông Pa - Gia Lai
224 Phạm Hùng - Xã Tân Sơn - Thành phố  Pleiku - Gia Lai
128 Tôn Thất Tùng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
146/67A âu Cơ - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Thôn 12 - Xã An Phú - Thành phố  Pleiku - Gia Lai
122 Thống Nhất - Thị trấn Phú Túc - Huyện Krông Pa - Gia Lai
HYú - Huyện Krông Pa - Gia Lai
Thắng Lợi - Huyện Krông Pa - Gia Lai
Đường Quang Trung - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Buôn Jao - Huyện Krông Pa - Gia Lai
Buông Tang - Huyện Krông Pa - Gia Lai
Làng Gòong - Huyện Chư Prông - Gia Lai
303 Lê Duẩn - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Trần Phú - Kon Dơng - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
Đăk Yă - Huyện Mang Yang - Gia Lai
Djrét - Huyện Krông Pa - Gia Lai
Djrét - Huyện Krông Pa - Gia Lai
